TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,CFID,CFPARAMS
1610612737,Atlanta Hawks,50,31,19,0.62,2415.0,96.9,98.4,93.9,95.2,3.0,3.2,0.507,1.05,13.0,0.353,0.701,0.527,0.17,0.436,0.492,88.4,87.14,0.525,1,7,7,7,17,21,2,8,28,28,29,5,1,1,14,26,25,28,8,10,Atlanta Hawks
1610612738,Boston Celtics,50,19,31,0.38,2430.0,97.6,98.7,99.7,100.7,-2.1,-2.0,0.591,1.33,16.3,0.33,0.666,0.493,0.171,0.469,0.501,94.0,93.08,0.473,1,22,22,22,5,20,14,21,19,17,19,12,23,20,16,14,20,3,23,10,Boston Celtics
1610612766,Charlotte Hornets,50,26,24,0.52,2430.0,100.0,100.3,99.2,100.4,0.8,0.0,0.664,1.39,17.6,0.266,0.678,0.482,0.172,0.485,0.537,92.1,91.47,0.511,1,16,16,16,5,14,13,16,4,10,5,29,10,26,18,6,6,8,15,10,Charlotte Hornets
1610612741,Chicago Bulls,50,13,37,0.26,2414.0,89.8,91.3,100.1,101.7,-10.2,-10.4,0.661,1.31,16.4,0.299,0.684,0.482,0.173,0.424,0.47,90.7,89.2,0.42,1,27,27,27,18,29,20,29,6,18,16,26,6,27,19,29,29,21,28,10,Chicago Bulls
1610612739,Cleveland Cavaliers,50,22,28,0.44,2410.0,96.7,98.2,98.5,100.1,-1.9,-1.9,0.7,1.39,17.9,0.295,0.656,0.478,0.178,0.464,0.52,89.1,87.67,0.493,1,20,20,20,19,23,12,19,2,11,4,28,25,29,22,16,12,27,17,10,Cleveland Cavaliers
1610612742,Dallas Mavericks,50,19,31,0.38,2415.0,99.3,100.2,102.2,102.9,-2.9,-2.7,0.527,1.33,14.7,0.321,0.673,0.495,0.151,0.459,0.502,91.6,90.82,0.474,1,22,22,22,16,15,25,23,27,16,25,18,15,16,4,19,19,14,22,10,Dallas Mavericks
1610612743,Denver Nuggets,50,14,36,0.28,2405.0,100.2,101.3,106.8,108.6,-6.5,-7.3,0.576,1.31,15.3,0.319,0.66,0.483,0.16,0.459,0.511,93.3,92.0,0.442,1,26,26,26,27,12,29,26,24,19,23,19,24,25,6,18,15,6,26,10,Denver Nuggets
1610612765,Detroit Pistons,50,29,21,0.58,2410.0,101.2,102.4,97.9,98.3,3.3,4.0,0.608,1.28,16.4,0.331,0.697,0.514,0.179,0.48,0.528,88.7,87.98,0.515,1,10,10,10,26,11,9,6,13,23,15,11,2,8,24,10,8,26,12,10,Detroit Pistons
1610612744,Golden State Warriors,50,21,29,0.42,2425.0,95.1,95.9,98.7,98.9,-3.6,-3.0,0.599,1.35,15.8,0.367,0.69,0.523,0.167,0.434,0.471,91.5,90.99,0.466,1,21,21,21,8,28,10,24,16,14,22,1,3,2,11,27,28,12,25,10,Golden State Warriors
1610612745,Houston Rockets,50,31,19,0.62,2415.0,102.5,103.5,100.1,100.9,2.4,2.6,0.603,1.3,16.9,0.312,0.678,0.506,0.178,0.506,0.545,91.3,90.48,0.523,1,7,7,7,13,5,15,9,14,20,9,21,11,10,23,1,1,17,9,10,Houston Rockets
1610612754,Indiana Pacers,50,33,17,0.66,2420.0,105.6,106.5,101.0,102.1,4.6,4.4,0.581,1.55,16.4,0.31,0.671,0.495,0.146,0.486,0.537,89.1,88.2,0.526,1,4,4,4,10,1,23,5,23,3,17,22,22,17,2,5,5,25,7,10,Indiana Pacers
1610612746,Los Angeles Clippers,50,9,41,0.18,2425.0,96.6,98.3,107.0,107.8,-10.4,-9.5,0.479,1.03,13.2,0.332,0.646,0.48,0.173,0.454,0.497,92.2,91.07,0.402,1,28,28,28,8,22,28,28,29,29,28,10,28,28,20,21,23,11,29,10,Los Angeles Clippers
1610612747,Los Angeles Lakers,50,31,19,0.62,2410.0,104.6,106.1,101.2,102.8,3.3,3.3,0.595,1.45,16.9,0.323,0.671,0.5,0.162,0.498,0.538,94.3,92.97,0.527,1,7,7,7,19,2,24,7,18,5,8,17,21,14,9,2,4,4,6,10,Los Angeles Lakers
1610612748,Miami Heat,50,33,17,0.66,2405.0,102.0,102.8,96.0,97.0,6.0,5.8,0.631,1.37,17.1,0.299,0.683,0.503,0.172,0.494,0.54,87.2,86.4,0.56,1,4,4,4,27,8,8,4,9,13,7,27,7,12,17,3,3,29,3,10,Miami Heat
