TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,CFID,CFPARAMS
1610612737,Atlanta Hawks,82,60,22,0.732,3946.0,106.2,108.2,100.7,102.2,5.6,5.9,0.676,1.81,19.5,0.264,0.697,0.487,0.15,0.527,0.563,96.2,94.66,0.54,1,2,2,2,26,6,5,4,1,3,2,30,22,27,17,3,3,15,3,10,Atlanta Hawks
1610612738,Boston Celtics,82,40,42,0.488,3976.0,101.7,103.8,102.1,103.5,-0.4,0.3,0.629,1.77,18.0,0.289,0.71,0.495,0.141,0.489,0.523,98.4,96.74,0.498,1,16,16,16,8,19,12,16,3,4,6,15,16,18,6,22,23,5,18,10,Boston Celtics
1610612751,Brooklyn Nets,82,38,44,0.463,3986.0,101.9,103.3,105.0,106.3,-3.1,-2.9,0.559,1.51,16.3,0.278,0.701,0.491,0.146,0.491,0.529,95.0,93.72,0.48,1,18,18,18,3,20,22,21,25,19,19,23,19,22,13,18,20,20,23,10,Brooklyn Nets
1610612766,Charlotte Hornets,82,33,49,0.402,3981.0,97.6,99.5,101.0,103.0,-3.4,-3.5,0.568,1.69,15.8,0.27,0.746,0.502,0.126,0.456,0.498,95.3,93.47,0.482,1,22,22,22,6,28,10,24,19,7,26,27,1,13,1,30,29,24,22,10,Charlotte Hornets
1610612741,Chicago Bulls,82,50,32,0.61,3976.0,104.7,106.3,101.5,103.3,3.3,3.0,0.593,1.56,16.6,0.312,0.709,0.516,0.147,0.489,0.536,95.4,93.81,0.529,1,9,9,9,8,11,11,11,11,15,14,5,17,4,15,21,14,19,6,10,Chicago Bulls
1610612739,Cleveland Cavaliers,82,53,29,0.646,3956.0,107.7,110.1,104.1,105.3,3.7,4.8,0.587,1.55,17.1,0.311,0.711,0.513,0.152,0.52,0.557,94.8,93.23,0.514,1,7,7,7,23,4,18,5,13,16,9,6,15,6,19,4,4,25,10,10,Cleveland Cavaliers
1610612742,Dallas Mavericks,82,50,32,0.61,3976.0,107.2,108.2,103.7,104.9,3.5,3.2,0.567,1.74,17.0,0.269,0.681,0.477,0.133,0.515,0.55,97.4,96.41,0.521,1,9,9,9,8,5,17,9,20,6,10,28,30,30,3,6,7,8,9,10,Dallas Mavericks
1610612743,Denver Nuggets,82,30,52,0.366,3976.0,101.6,103.8,105.5,107.1,-3.9,-3.3,0.577,1.53,16.2,0.303,0.7,0.494,0.146,0.479,0.518,98.7,96.89,0.465,1,24,24,24,8,18,26,23,17,17,20,10,20,20,12,25,24,4,25,10,Denver Nuggets
1610612765,Detroit Pistons,82,32,50,0.39,3966.0,102.3,104.3,104.2,105.4,-1.8,-1.1,0.582,1.61,16.4,0.316,0.712,0.505,0.142,0.482,0.515,95.2,93.7,0.478,1,23,23,23,18,15,20,19,15,10,17,3,14,11,8,24,26,21,24,10,Detroit Pistons
1610612744,Golden State Warriors,82,67,15,0.817,3946.0,109.7,110.4,98.2,100.4,11.4,10.0,0.659,1.9,19.7,0.273,0.703,0.498,0.145,0.54,0.571,100.7,99.29,0.569,1,1,1,1,26,2,1,1,2,2,1,24,18,14,11,1,1,1,1,10,Golden State Warriors
1610612745,Houston Rockets,82,56,26,0.683,3961.0,104.2,106.0,100.5,102.6,3.7,3.5,0.6,1.33,16.5,0.305,0.686,0.496,0.17,0.512,0.548,99.3,97.38,0.509,1,3,3,3,20,12,7,8,10,27,16,9,27,17,28,7,8,2,12,10,Houston Rockets
1610612754,Indiana Pacers,82,38,44,0.463,3971.0,100.8,102.9,100.9,102.7,-0.1,0.2,0.586,1.53,16.6,0.286,0.735,0.511,0.148,0.484,0.523,95.5,93.7,0.505,1,18,18,18,13,23,8,17,14,18,15,19,2,7,16,23,22,22,16,10,Indiana Pacers
1610612746,Los Angeles Clippers,82,56,26,0.683,3946.0,109.8,111.5,103.0,104.7,6.9,6.8,0.629,2.01,18.7,0.272,0.716,0.497,0.129,0.533,0.565,97.0,95.41,0.54,1,3,3,3,26,1,16,2,4,1,3,26,9,15,2,2,2,11,4,10,Los Angeles Clippers
1610612747,Los Angeles Lakers,82,21,61,0.256,3986.0,100.8,102.2,108.0,109.4,-7.2,-7.2,0.562,1.58,15.9,0.29,0.72,0.497,0.137,0.473,0.513,96.3,95.08,0.45,1,27,27,27,3,24,29,27,24,14,24,13,7,16,5,26,27,13,28,10,Los Angeles Lakers
1610612763,Memphis Grizzlies,82,55,27,0.671,3981.0,103.1,104.7,99.9,101.2,3.1,3.5,0.574,1.62,16.9,0.288,0.716,0.503,0.142,0.489,0.531,94.2,92.85,0.53,1,5,5,5,6,13,2,7,18,9,11,18,10,12,9,20,18,26,5,10,Memphis Grizzlies
1610612748,Miami Heat,82,37,45,0.451,3946.0,101.5,103.2,103.8,106.1,-2.4,-3.0,0.564,1.34,16.1,0.284,0.687,0.489,0.161,0.5,0.54,93.3,91.49,0.492,1,21,21,21,26,21,21,22,22,26,23,20,25,26,25,12,11,29,19,10,Miami Heat
1610612749,Milwaukee Bucks,82,41,41,0.5,3986.0,100.5,101.9,99.3,101.3,1.2,0.6,0.627,1.41,17.8,0.29,0.686,0.491,0.174,0.499,0.536,96.5,94.85,0.511,1,15,15,15,3,25,4,15,6,22,7,14,26,21,29,13,15,14,11,10,Milwaukee Bucks
1610612750,Minnesota Timberwolves,82,16,66,0.195,3961.0,99.8,101.8,109.6,110.9,-9.8,-9.1,0.593,1.44,16.3,0.311,0.682,0.489,0.156,0.468,0.517,97.0,95.46,0.453,1,30,30,30,20,26,30,29,12,21,18,7,29,24,21,28,25,10,27,10,Minnesota Timberwolves
1610612740,New Orleans Pelicans,82,45,37,0.549,3956.0,105.4,107.1,104.7,106.3,0.7,0.8,0.581,1.66,17.1,0.309,0.712,0.511,0.143,0.501,0.537,93.7,92.29,0.508,1,13,13,13,23,9,23,13,16,8,8,8,13,8,10,11,12,27,13,10,New Orleans Pelicans
1610612752,New York Knicks,82,17,65,0.207,3971.0,97.1,98.9,107.2,109.0,-10.1,-10.1,0.606,1.45,16.7,0.289,0.691,0.484,0.158,0.47,0.508,93.7,92.08,0.441,1,29,29,29,13,29,28,30,9,20,13,16,23,28,24,27,28,28,29,10,New York Knicks
1610612760,Oklahoma City Thunder,82,45,37,0.549,3966.0,104.5,106.7,103.1,104.6,1.3,2.1,0.528,1.4,15.3,0.318,0.73,0.524,0.151,0.492,0.532,98.3,96.64,0.505,1,13,13,13,18,10,15,12,29,23,30,2,4,2,18,17,17,6,17,10,Oklahoma City Thunder
1610612753,Orlando Magic,82,25,57,0.305,3951.0,99.6,101.0,105.2,106.8,-5.6,-5.8,0.55,1.39,16.2,0.269,0.716,0.491,0.157,0.494,0.524,95.9,94.52,0.455,1,26,26,26,25,27,24,26,27,24,21,29,8,23,22,16,21,16,26,10,Orlando Magic
1610612755,Philadelphia 76ers,82,18,64,0.22,3961.0,93.0,94.8,102.1,103.9,-9.1,-9.0,0.609,1.16,15.5,0.293,0.686,0.48,0.183,0.459,0.494,98.3,96.48,0.426,1,28,28,28,20,30,13,28,8,30,27,12,28,29,30,29,30,7,30,10,Philadelphia 76ers
1610612756,Phoenix Suns,82,39,43,0.476,3976.0,102.9,104.2,103.4,105.3,-0.5,-1.1,0.522,1.34,15.4,0.281,0.698,0.489,0.154,0.501,0.537,98.7,97.22,0.491,1,17,17,17,8,17,19,20,30,25,29,22,21,25,20,10,13,3,20,10,Phoenix Suns
1610612757,Portland Trail Blazers,82,51,31,0.622,3971.0,105.5,107.1,101.4,102.8,4.2,4.3,0.567,1.61,16.8,0.282,0.728,0.51,0.142,0.508,0.544,96.5,95.08,0.522,1,8,8,8,13,8,9,6,21,11,12,21,5,9,7,9,9,12,8,10,Portland Trail Blazers
1610612758,Sacramento Kings,82,29,53,0.354,3971.0,102.5,104.5,106.5,108.2,-4.0,-3.8,0.554,1.25,15.5,0.313,0.715,0.519,0.168,0.49,0.542,97.9,96.19,0.485,1,25,25,25,13,14,27,25,26,29,28,4,11,3,26,19,10,9,21,10,Sacramento Kings
1610612759,San Antonio Spurs,82,55,27,0.671,3991.0,106.2,107.6,99.6,101.3,6.6,6.3,0.623,1.75,18.4,0.272,0.73,0.507,0.146,0.517,0.555,95.9,94.48,0.545,1,5,5,5,1,7,3,3,7,5,4,25,3,10,14,5,5,17,2,10,San Antonio Spurs
1610612761,Toronto Raptors,82,49,33,0.598,3971.0,108.1,110.2,104.8,107.1,3.2,3.1,0.547,1.61,16.1,0.301,0.689,0.494,0.137,0.508,0.553,95.4,93.5,0.506,1,11,11,11,13,3,25,10,28,12,22,11,24,19,4,8,6,23,15,10,Toronto Raptors
1610612762,Utah Jazz,82,38,44,0.463,3941.0,102.5,104.2,102.1,104.1,0.5,0.1,0.563,1.3,15.8,0.332,0.715,0.524,0.168,0.494,0.531,92.8,91.1,0.507,1,18,18,18,30,16,14,18,23,28,25,1,12,1,27,15,19,30,14,10,Utah Jazz
1610612764,Washington Wizards,82,46,36,0.561,3991.0,101.8,103.0,100.0,102.3,1.9,0.7,0.627,1.6,18.1,0.288,0.726,0.514,0.157,0.499,0.534,96.0,94.33,0.525,1,12,12,12,1,22,6,14,5,13,5,17,6,5,23,14,16,18,7,10,Washington Wizards
