TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,CFID,CFPARAMS
1610612737,Atlanta Hawks,82,24,58,0.293,3941.0,102.4,104.4,108.2,110.0,-5.8,-5.6,0.622,1.53,17.6,0.263,0.719,0.489,0.157,0.512,0.547,100.6,98.85,0.468,1,27,27,27,27,26,24,26,5,23,8,18,26,26,29,22,20,8,26,10,Atlanta Hawks
1610612738,Boston Celtics,82,55,27,0.671,3961.0,105.3,106.7,101.5,103.1,3.7,3.6,0.586,1.6,17.0,0.263,0.739,0.504,0.144,0.518,0.552,98.2,96.82,0.519,1,4,4,4,12,18,2,7,13,17,21,19,10,11,15,15,14,23,8,10,Boston Celtics
1610612751,Brooklyn Nets,82,28,54,0.341,3971.0,104.3,106.0,108.5,109.6,-4.2,-3.6,0.619,1.56,17.3,0.251,0.731,0.489,0.151,0.514,0.551,101.1,99.74,0.474,1,23,23,23,5,22,21,24,6,21,12,24,14,25,22,18,15,6,24,10,Brooklyn Nets
1610612766,Charlotte Hornets,82,36,46,0.439,3956.0,107.0,108.9,107.0,108.9,0.0,0.0,0.554,1.7,16.1,0.271,0.763,0.512,0.128,0.508,0.549,100.5,98.74,0.5,1,20,20,20,16,9,17,18,25,9,27,13,2,5,3,25,18,11,18,10,Charlotte Hornets
1610612741,Chicago Bulls,82,27,55,0.329,3971.0,101.3,103.3,109.1,110.4,-7.8,-7.1,0.607,1.68,17.3,0.256,0.767,0.5,0.14,0.497,0.529,100.3,98.74,0.453,1,24,24,24,5,28,28,28,8,13,14,22,1,17,10,29,29,10,28,10,Chicago Bulls
1610612739,Cleveland Cavaliers,82,50,32,0.61,3946.0,110.6,112.0,109.5,111.0,1.0,1.0,0.579,1.7,17.5,0.243,0.73,0.492,0.139,0.547,0.584,100.1,98.79,0.502,1,6,6,6,23,5,29,14,20,8,9,28,16,24,8,3,3,9,17,10,Cleveland Cavaliers
1610612742,Dallas Mavericks,82,24,58,0.293,3961.0,104.1,105.4,107.4,108.2,-3.3,-2.9,0.594,1.85,17.3,0.224,0.749,0.478,0.126,0.513,0.544,97.5,96.61,0.475,1,27,27,27,12,24,16,22,10,2,11,30,5,30,1,19,23,26,23,10,Dallas Mavericks
1610612743,Denver Nuggets,82,46,36,0.561,3976.0,109.6,111.3,108.8,109.9,0.8,1.4,0.617,1.68,18.2,0.3,0.736,0.517,0.151,0.536,0.57,99.1,97.81,0.511,1,14,14,14,4,6,23,11,7,11,5,2,11,2,24,6,7,15,10,10,Denver Nuggets
1610612765,Detroit Pistons,82,39,43,0.476,3961.0,104.9,106.5,104.8,106.6,0.0,-0.1,0.582,1.7,17.1,0.269,0.74,0.499,0.138,0.512,0.543,98.4,96.81,0.489,1,19,19,19,12,19,10,19,19,10,17,16,9,18,7,20,26,24,21,10,Detroit Pistons
1610612744,Golden State Warriors,82,58,24,0.707,3946.0,112.3,112.7,104.2,106.8,8.1,5.9,0.685,1.9,20.9,0.243,0.712,0.497,0.153,0.569,0.603,101.8,100.43,0.554,1,3,3,3,23,3,11,3,1,1,1,27,29,19,25,1,1,5,1,10,Golden State Warriors
1610612745,Houston Rockets,82,65,17,0.793,3951.0,112.2,114.0,103.8,105.6,8.5,8.4,0.557,1.56,16.3,0.254,0.75,0.503,0.14,0.551,0.59,99.7,98.1,0.531,1,1,1,1,18,1,7,1,22,22,26,23,4,14,11,2,2,14,5,10,Houston Rockets
