TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,CFID,CFPARAMS
1610612737,Atlanta Hawks,82,44,38,0.537,3946.0,103.2,105.1,104.6,105.8,-1.4,-0.7,0.607,1.61,17.7,0.274,0.71,0.494,0.151,0.501,0.542,91.6,90.23,0.493,1,13,13,13,28,21,14,16,5,10,6,28,10,23,14,12,14,27,18,10,Atlanta Hawks
1610612738,Boston Celtics,82,56,26,0.683,3956.0,104.0,105.5,97.8,99.8,6.2,5.7,0.635,1.61,18.8,0.257,0.709,0.497,0.159,0.519,0.561,92.5,90.94,0.558,1,6,6,6,20,17,2,5,2,11,1,30,11,20,23,7,5,23,1,10,Boston Celtics
1610612766,Charlotte Bobcats,82,34,48,0.415,3961.0,100.8,102.8,104.8,106.9,-4.0,-4.2,0.601,1.45,16.9,0.298,0.705,0.502,0.16,0.482,0.528,92.1,90.3,0.48,1,22,22,22,18,26,17,24,7,21,13,17,12,13,25,25,24,26,22,10,Charlotte Bobcats
1610612741,Chicago Bulls,82,62,20,0.756,3966.0,105.5,107.2,97.4,99.4,8.1,7.8,0.601,1.57,17.3,0.332,0.717,0.528,0.154,0.501,0.541,92.9,91.23,0.555,1,1,1,1,12,12,1,1,9,13,9,4,3,1,20,14,15,22,3,10,Chicago Bulls
1610612739,Cleveland Cavaliers,82,19,63,0.232,3951.0,99.5,101.5,109.1,110.9,-9.6,-9.5,0.596,1.48,16.4,0.283,0.699,0.485,0.151,0.472,0.518,95.5,93.76,0.441,1,29,29,29,27,28,29,30,10,20,21,22,16,27,17,28,27,12,30,10,Cleveland Cavaliers
1610612742,Dallas Mavericks,82,57,25,0.695,3941.0,107.6,108.4,102.3,104.1,5.3,4.4,0.637,1.71,18.7,0.278,0.713,0.504,0.151,0.525,0.565,93.4,92.24,0.538,1,4,4,4,29,9,8,8,1,3,2,25,7,11,16,3,4,17,6,10,Dallas Mavericks
1610612743,Denver Nuggets,82,50,32,0.61,3941.0,109.5,111.7,104.8,106.8,4.7,4.9,0.576,1.57,17.0,0.283,0.716,0.506,0.147,0.526,0.573,97.9,96.07,0.524,1,9,9,9,29,1,16,7,15,14,12,23,4,9,9,2,1,3,9,10,Denver Nuggets
1610612765,Detroit Pistons,82,30,52,0.366,3976.0,104.6,107.0,109.0,110.7,-4.4,-3.6,0.566,1.62,16.8,0.317,0.681,0.491,0.144,0.495,0.533,91.5,89.83,0.464,1,24,24,24,6,15,28,23,20,9,18,9,26,25,6,17,22,28,24,10,Detroit Pistons
1610612744,Golden State Warriors,82,36,46,0.439,3966.0,105.5,107.1,107.6,109.4,-2.1,-2.3,0.568,1.54,17.0,0.3,0.659,0.476,0.151,0.51,0.544,97.4,95.87,0.472,1,20,20,20,12,13,26,21,19,16,11,16,30,29,18,9,12,4,23,10,Golden State Warriors
1610612745,Houston Rockets,82,43,39,0.524,3976.0,108.0,110.2,106.2,107.9,1.8,2.3,0.617,1.76,17.8,0.315,0.69,0.501,0.141,0.503,0.55,96.9,95.15,0.515,1,14,14,14,6,4,18,11,4,1,5,10,21,14,2,10,10,8,12,10,Houston Rockets
1610612754,Indiana Pacers,82,37,45,0.451,3956.0,101.9,104.0,103.4,105.0,-1.5,-1.0,0.536,1.28,15.2,0.297,0.703,0.501,0.16,0.486,0.533,97.2,95.53,0.492,1,19,19,19,20,23,12,19,26,27,28,18,13,15,26,23,23,6,19,10,Indiana Pacers
1610612746,Los Angeles Clippers,82,32,50,0.39,3971.0,101.8,104.8,106.3,108.0,-4.5,-3.2,0.601,1.35,16.9,0.33,0.692,0.511,0.174,0.496,0.535,95.5,93.36,0.483,1,23,23,23,10,22,19,22,8,25,15,6,20,7,30,16,17,13,21,10,Los Angeles Clippers
1610612747,Los Angeles Lakers,82,57,25,0.695,3966.0,107.9,109.6,101.3,103.2,6.6,6.3,0.576,1.68,17.0,0.325,0.692,0.513,0.141,0.502,0.545,93.4,91.79,0.541,1,4,4,4,12,7,6,3,16,4,10,7,19,4,3,11,11,19,4,10,Los Angeles Lakers
1610612763,Memphis Grizzlies,82,46,36,0.561,3976.0,104.4,107.0,102.5,104.5,1.9,2.5,0.528,1.48,16.0,0.333,0.682,0.505,0.15,0.493,0.534,94.5,92.44,0.518,1,11,11,11,6,14,11,10,29,19,23,3,23,10,13,20,19,16,10,10,Memphis Grizzlies
1610612748,Miami Heat,82,58,24,0.707,3956.0,109.3,110.6,100.7,102.9,8.5,7.8,0.541,1.44,16.1,0.287,0.715,0.514,0.151,0.524,0.573,93.2,91.66,0.556,1,3,3,3,20,2,5,2,25,23,22,20,5,3,15,4,2,20,2,10,Miami Heat
1610612749,Milwaukee Bucks,82,35,47,0.427,3966.0,99.0,100.7,99.9,101.5,-1.0,-0.7,0.549,1.4,15.3,0.287,0.71,0.492,0.147,0.467,0.511,92.1,90.58,0.488,1,21,21,21,12,30,3,17,23,24,27,21,9,24,11,30,30,25,20,10,Milwaukee Bucks
1610612750,Minnesota Timberwolves,82,17,65,0.207,3956.0,101.1,103.1,108.3,109.9,-7.2,-6.8,0.534,1.18,15.0,0.336,0.698,0.512,0.174,0.483,0.526,99.2,97.53,0.443,1,30,30,30,20,24,27,27,28,30,29,1,17,5,29,24,25,1,29,10,Minnesota Timberwolves
1610612751,New Jersey Nets,82,24,58,0.293,4001.0,100.2,102.1,107.0,108.9,-6.9,-6.8,0.59,1.5,16.6,0.304,0.7,0.497,0.152,0.474,0.517,92.4,90.74,0.452,1,25,25,25,1,27,22,28,12,17,19,15,15,18,19,27,28,24,27,10,New Jersey Nets
1610612740,New Orleans Hornets,82,46,36,0.561,3966.0,103.8,105.3,102.5,104.4,1.4,0.9,0.574,1.58,16.8,0.289,0.721,0.503,0.145,0.493,0.537,90.9,89.42,0.507,1,11,11,11,12,18,9,15,17,12,17,19,2,12,7,19,16,29,14,10,New Orleans Hornets
1610612752,New York Knicks,82,42,40,0.512,3956.0,108.3,109.9,106.9,109.0,1.4,1.0,0.56,1.56,16.4,0.273,0.676,0.473,0.141,0.513,0.561,98.1,96.47,0.504,1,15,15,15,20,5,23,14,21,15,20,29,28,30,4,8,6,2,15,10,New York Knicks
