TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,CFID,CFPARAMS
1610612737,Atlanta Hawks,12,3,9,0.25,576.0,101.1,102.1,109.0,110.6,-7.9,-8.5,0.621,1.31,17.1,0.234,0.711,0.473,0.175,0.518,0.553,108.9,107.58,0.457,10,27,24,27,21,29,23,27,7,27,16,26,23,26,29,14,16,1,26,10,Atlanta Hawks
1610612738,Boston Celtics,12,7,5,0.583,581.0,104.1,104.8,100.2,102.6,3.9,2.1,0.623,1.8,17.4,0.247,0.745,0.496,0.132,0.503,0.538,101.8,100.3,0.513,10,8,8,9,10,24,2,10,6,4,11,24,6,19,4,22,23,20,12,10,Boston Celtics
1610612751,Brooklyn Nets,13,6,7,0.462,629.0,107.0,109.9,108.4,109.8,-1.3,0.1,0.597,1.63,17.4,0.292,0.683,0.486,0.148,0.526,0.555,100.5,98.48,0.491,2,14,19,19,4,10,22,17,11,14,10,11,28,21,23,13,14,28,19,10,Brooklyn Nets
1610612766,Charlotte Hornets,12,6,6,0.5,581.0,111.1,114.3,105.4,107.4,5.7,6.8,0.588,1.95,17.7,0.295,0.734,0.51,0.126,0.531,0.568,103.7,101.29,0.525,10,14,13,15,10,5,14,6,14,3,8,9,11,11,2,9,8,17,7,10,Charlotte Hornets
1610612741,Chicago Bulls,13,4,9,0.308,639.0,102.8,104.6,109.1,111.3,-6.3,-6.7,0.57,1.53,16.6,0.229,0.695,0.47,0.144,0.515,0.55,101.2,99.34,0.461,2,22,24,24,2,25,26,24,18,18,20,30,27,28,14,15,18,23,25,10,Chicago Bulls
1610612739,Cleveland Cavaliers,12,1,11,0.083,576.0,102.9,104.3,112.3,114.3,-9.4,-10.0,0.51,1.31,14.8,0.3,0.733,0.504,0.153,0.489,0.531,100.5,98.96,0.437,10,30,30,30,21,26,29,29,27,29,26,6,12,15,25,27,25,24,29,10,Cleveland Cavaliers
1610612742,Dallas Mavericks,12,4,8,0.333,581.0,105.6,108.0,110.5,111.1,-4.9,-3.0,0.594,1.35,16.8,0.293,0.754,0.518,0.171,0.528,0.567,103.0,101.54,0.479,10,22,23,23,10,14,24,21,13,26,18,10,4,7,28,12,9,15,20,10,Dallas Mavericks
1610612743,Denver Nuggets,12,9,3,0.75,581.0,107.3,109.8,101.8,102.5,5.6,7.3,0.596,1.69,17.2,0.334,0.763,0.545,0.144,0.507,0.546,100.3,98.85,0.544,10,3,3,3,10,11,1,5,12,10,13,1,2,1,15,19,20,25,5,10,Denver Nuggets
1610612765,Detroit Pistons,11,6,5,0.545,543.0,103.1,105.5,104.0,105.8,-0.9,-0.3,0.518,1.37,14.6,0.297,0.769,0.52,0.145,0.488,0.528,104.2,102.1,0.468,27,14,8,13,27,21,8,18,26,25,29,7,1,4,16,29,27,14,22,10,Detroit Pistons
1610612744,Golden State Warriors,13,11,2,0.846,624.0,117.9,119.2,106.1,108.1,11.9,11.1,0.666,2.02,21.0,0.269,0.726,0.517,0.147,0.59,0.624,103.9,102.42,0.571,2,2,2,2,5,1,15,2,2,1,1,19,16,8,19,1,1,11,1,10,Golden State Warriors
