PLAYER_ID,RANK,PLAYER,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
201568,29,Danilo Gallinari,LAC,12,30.3,6.0,13.8,0.434,2.3,5.3,0.444,5.1,5.3,0.968,1.2,4.7,5.8,1.7,0.5,0.3,1.2,19.4,18.6
200746,30,LaMarcus Aldridge,SAS,11,35.5,7.5,17.5,0.432,0.0,0.5,0.0,4.3,5.5,0.783,3.7,6.1,9.8,2.9,0.4,1.1,1.8,19.4,20.6
203083,31,Andre Drummond,DET,11,32.6,8.2,15.6,0.523,0.2,1.0,0.182,2.7,5.0,0.545,5.9,10.2,16.1,1.4,1.0,1.5,2.9,19.3,26.6
1627741,32,Buddy Hield,SAC,13,31.5,7.3,15.2,0.48,2.4,5.5,0.431,2.1,2.4,0.871,1.0,4.8,5.8,2.6,0.5,0.5,2.5,19.1,17.8
1627747,33,Caris LeVert,BKN,13,30.8,7.1,14.8,0.477,1.5,4.5,0.328,3.4,4.7,0.721,0.8,3.4,4.2,3.7,1.3,0.4,2.2,19.0,17.3
201565,34,Derrick Rose,MIN,12,29.3,6.9,15.1,0.459,1.8,3.8,0.467,3.3,4.0,0.813,1.1,2.6,3.7,4.7,0.6,0.2,2.0,18.8,17.0
203114,34,Khris Middleton,MIL,12,30.3,6.2,14.1,0.438,3.5,7.7,0.457,3.0,3.4,0.878,0.5,4.5,5.0,4.3,1.4,0.3,2.4,18.8,19.1
201950,36,Jrue Holiday,NOP,12,36.2,6.9,15.2,0.456,1.1,4.8,0.228,3.8,5.0,0.767,1.1,3.6,4.7,8.8,1.7,0.7,3.7,18.8,21.5
1628368,37,De'Aaron Fox,SAC,13,32.8,6.5,13.2,0.494,1.2,3.0,0.41,4.4,6.4,0.687,0.7,3.8,4.5,7.1,1.2,0.5,3.2,18.7,20.2
101150,38,Lou Williams,LAC,12,25.8,6.1,14.3,0.424,1.6,4.2,0.38,4.8,5.2,0.935,0.4,1.9,2.3,4.1,0.6,0.2,2.4,18.6,14.8
1628398,39,Kyle Kuzma,LAL,12,31.8,7.4,15.3,0.486,1.7,5.5,0.303,2.0,2.7,0.75,0.6,4.1,4.7,1.7,0.4,0.6,1.2,18.5,16.2
1629027,40,Trae Young,ATL,12,30.3,6.5,15.3,0.424,1.6,6.1,0.26,3.8,4.8,0.807,0.7,2.8,3.4,7.8,0.3,0.3,4.0,18.4,16.5
1627750,41,Jamal Murray,DEN,12,33.6,6.8,15.6,0.439,1.5,5.1,0.295,3.2,3.5,0.905,0.8,3.5,4.3,3.8,1.0,0.3,2.0,18.3,16.7
201144,42,Mike Conley,MEM,11,32.5,5.9,15.6,0.378,1.8,6.1,0.299,4.5,5.5,0.817,0.6,2.6,3.3,6.0,1.3,0.3,1.6,18.1,16.5
203944,43,Julius Randle,NOP,12,25.3,6.6,11.8,0.556,0.7,2.0,0.333,4.2,5.9,0.704,2.0,5.9,7.9,2.3,0.7,0.8,2.5,18.0,20.2
202696,44,Nikola Vucevic,ORL,12,29.8,7.6,14.0,0.542,0.8,1.8,0.455,1.8,2.4,0.759,2.6,8.1,10.7,3.7,1.1,1.3,2.2,17.8,25.4
203999,45,Nikola Jokic,DEN,12,29.3,6.0,11.2,0.537,1.0,2.6,0.387,4.6,5.5,0.833,2.5,8.2,10.7,7.0,1.3,1.0,3.3,17.6,28.1
200755,46,JJ Redick,PHI,14,31.1,5.6,14.0,0.403,2.9,8.4,0.35,3.2,3.4,0.938,0.4,2.1,2.5,3.4,0.3,0.1,1.6,17.4,13.4
203914,47,Gary Harris,DEN,12,33.7,6.3,14.6,0.434,1.3,4.7,0.268,3.3,4.1,0.816,1.0,2.7,3.7,3.2,1.0,0.5,1.2,17.3,15.4
201586,48,Serge Ibaka,TOR,13,26.5,7.2,12.4,0.584,0.7,2.3,0.3,2.1,2.8,0.73,2.2,5.7,7.9,1.0,0.7,1.3,1.9,17.2,20.3
200768,49,Kyle Lowry,TOR,13,33.5,6.0,12.1,0.497,2.5,6.4,0.386,2.7,3.3,0.814,0.7,3.5,4.2,11.0,1.5,0.5,2.7,17.2,24.9
202083,50,Wesley Matthews,DAL,12,33.4,5.6,13.3,0.421,2.8,7.3,0.379,2.9,3.7,0.795,0.6,2.1,2.7,2.6,0.8,0.1,1.3,16.8,13.3
1626161,51,Willie Cauley-Stein,SAC,13,28.7,7.3,12.6,0.579,0.1,0.1,1.0,2.1,3.9,0.529,2.5,5.8,8.2,2.1,1.1,0.5,1.5,16.8,20.1
203471,52,Dennis Schroder,OKC,12,29.3,6.3,14.8,0.424,1.0,3.6,0.279,3.2,4.0,0.792,0.8,3.8,4.5,4.8,1.1,0.2,3.0,16.7,14.9
203095,53,Evan Fournier,ORL,12,30.2,6.4,15.4,0.416,2.0,6.8,0.293,1.7,2.2,0.769,0.3,2.5,2.8,4.4,1.4,0.3,1.9,16.5,13.9
203497,54,Rudy Gobert,UTA,12,33.9,6.3,8.7,0.721,0.0,0.0,0.0,3.9,6.4,0.61,3.5,9.8,13.3,1.3,1.0,2.3,1.8,16.4,27.7
203932,55,Aaron Gordon,ORL,12,33.0,6.2,13.3,0.463,1.8,4.6,0.382,2.3,3.3,0.675,2.1,6.0,8.1,2.5,0.8,0.8,1.8,16.3,18.4
101108,55,Chris Paul,HOU,9,35.6,5.8,15.0,0.385,1.7,5.7,0.294,3.1,4.0,0.778,0.9,4.3,5.2,8.2,2.6,0.3,3.1,16.3,19.4
201609,57,Goran Dragic,MIA,9,30.8,5.6,14.2,0.391,2.0,5.7,0.353,3.0,3.7,0.818,0.9,2.8,3.7,4.9,0.4,0.3,2.4,16.1,13.7
1629028,58,Deandre Ayton,PHX,12,32.5,7.0,11.6,0.604,0.0,0.0,0.0,2.1,2.8,0.758,2.8,8.2,10.9,3.0,0.7,0.8,2.0,16.1,24.2
